id,name
1,Heumarkt
101,Am Steinneuerhof
1010,Bergheim Grundschule
1011,Bergheim Industriegebiet
102,Friedhof Steinneuerhof
103,Kirschbaumweg
104,Mannesmannstr.
105,Hahnwald
106,Rodenkirchen Bf
1069,Bergheim Fährhaus
107,Siegstr.
1071,Mondorf Ahrstr.
1072,Mondorf Beckergasse
1073,Mondorf Sportplatz
1074,Rheidt Süd
1076,Rheidt Markt
1077,Rheidt Unterführung
1078,Rheidt Nord
1079,Rheidt Bahnhofstr.
108,Michaelshoven
1080,Niederkassel Spicher Str.
1081,Niederkassel Nord
1082,Ranzel Sonnenbergerweg
109,Maternusplatz
11,Severinstr.
110,Frankstr.
111,Rodenkirchen Rathaus
1115,Bonn Bertha-von-Suttnerplatz
112,Grimmelshausenstr.
113,Lülsdorf Hallenbad
114,Uferstr.
116,Siegfriedstr.
117,Grüngürtelstr.
118,Richard-Wagner-Str.
119,Adolf-Menzel-Str.
12,Waidmarkt
120,Konrad-Adenauer-Str.
121,Schwabenstr.
122,Schillingsrotter Str.
123,Am Neuen Forst
124,Sürth Bf
125,Wesselinger Str.
126,Marktplatz Sürth
127,Kölnstr.
128,Ernst-Volland-Str.
129,Hammerschmidtstr.
13,Rosenstr.
130,Ritterstr.
131,Weißer Hauptstr.
132,Weiß Friedhof
133,Zum Hedelsberg
134,Godorf Bf
135,Pierstr.
136,Otto-Hahn-Str.
137,Bunsenstr.
138,Friedhof Godorf
139,Immendorf Siedlung
14,Silbermöwenweg
140,Immendorf
141,Zaunhof
142,Mohnweg
143,Universitätsstr.
144,Melaten
145,Hildegardis-Krankenhaus
146,Geibelstr.
147,Leiblplatz
148,Karl-Schwering-Platz
149,Theresienstr.
15,Severinskirche
150,Weißhausstr.
151,Arnulfstr.
1510,Schwarzrheindorf Kirche
1514,Schwarzrheindorf Schule
1515,Schwarzrheindorf Siegaue
152,Sülzburgstr.
153,Universität
154,Weyertal
155,Lindenburg
156,Konradstr.
157,Sülzburgstr./Berrenrather Str.
158,Lülsdorf Kirche
1584,Ramersdorf
159,Rhöndorfer Str.
16,Rolandstr.
160,Sülzgürtel
161,Bad Godesb. Bf/Löbestr.
162,Berrenrather Str./Gürtel
163,Euskirchener Str.
164,Zülpicher Str./Gürtel
165,Mommsenstr.
1655,Robert-Schuman-Platz
166,Sülz Hermeskeiler Platz
167,Klettenbergpark
168,Siebengebirgsallee
169,Wüllnerstr.
17,Ubierring
170,Dürener Str./Gürtel
171,Kitschburger Str.
172,Brahmsstr.
173,Gleueler Str./Gürtel
174,Hohenlind
175,Krieler Str.
176,Koppensteinstr.
177,Deckstein
178,Aachener Str./Gürtel
179,Maarweg
18,Chlodwigplatz
180,Clarenbachstift
181,Eupener Str.
1811,Siegburg Bf
182,Oskar-Jäger-Str./Gürtel
183,Stolberger Str./Eupener Str.
184,Stolberger Str./Maarweg
185,Müngersdorf S-Bahn/Technologiepark
186,Alter Militärring
187,Rheinenergie-Stadion
188,Wendelinstr.
189,Herrigergasse
19,Ulrepforte
190,Kämpchensweg
191,Am Lindenweg
192,Flachsweg
193,Leinsamenweg
194,Roggenweg
195,Vitalisstr. Süd
196,Widdersdorfer Str.
197,Technologiepark Köln
198,Schwindstr.
199,Böcklinstr.
2,Neumarkt
20,Alteburger Wall
200,Junkersdorf
2012,Niederkassel Evgl. Kirche
2018,Bergheim Kirche
2019,Bergheim Friedhof
202,Vogelsanger Weg
2020,Müllekoven
2021,Eschmar Bergheimer Str.
2022,Eschmar Kirche
2023,Sieglar Im Kirschtal
2024,Sieglar Flachtenstr./Krankenhaus
2025,Sieglar Rathausstr.
2026,Sieglar RSVG
203,Birkenallee
204,Kölner Weg
2041,Troisdorf Rathaus
2043,Oberlar Lindlaustr.
2044,Oberlar Landgrafenstr
2045,Sieglar Feuerwache
2046,Sieglar Leostr.
205,Sterrenhofweg
2057,Sieglar Schulzentrum
206,Beethovenstr.
2069,Troisdorf Bergeracker
207,Südallee
2071,Troisdorf BF
2073,Troisdorf Wilhelmstr.
2076,Troisdorf Ursulaplatz
2078,Troisdorf Elsenplatz
208,Waldstr.
2083,Troisdorf Altenforst
209,Wiener Weg
2098,Troisdorf Aggerbrücke
2099,Siegburg Brückberg
21,Eifelplatz
210,Stüttgerhofweg
2100,Siegburg Ernststr.
2101,Siegburg Waldstr.
2102,Siegburg Kaiserstr.
2103,Siegburg Stadthalle
2105,Siegburg Markt
211,Egelspfad
212,Bf Lövenich
213,Seithümerstr.
214,Dieselstr.
215,Zaunstr.
216,An der Ronne
217,Spitzangerweg
218,Saarstr.
219,Severinusstr.
22,Eifelstr.
220,Braugasse
221,Selma-Lagerlöf-Str.
222,Frechener Weg
223,Üsdorf
223,Üsdorf
224,Weiden Sportplatz
225,Stormstr.
226,Weiden Goethestr.
227,Ostlandstr.
228,Rosenhügel
229,Diepenbeekallee
23,Barbarossaplatz
230,Im Buschfelde
231,Widdersdorf
232,Adrian-Meller-Str.
233,Blaugasse
234,Stüttgenhof
235,Marsdorf
236,Piusstr.
237,Körnerstr.
238,Gutenbergstr.
239,Liebigstr.
24,Zülpicher Platz
240,Lülsdorf Uhlandstr.
241,Weiden Schulstr.
242,Schaffrathsgasse
243,Walter-Pauli-Ring
244,Willi-Lauf-Allee
245,Subbelrather Str./Gürtel
246,Nußbaumerstr.
247,Lenauplatz
249,Iltisstr.
25,Dasselstr./Bf Süd
250,Butzweilerstr.
251,Venloer Str./Gürtel
252,Eichenstr.
253,Geisselstr.
254,Weinsbergstr./Gürtel
2548,Windmühlenstr.
255,Leyendeckerstr.
256,Borsigstr.
257,Bf Deutz/Messeplatz
258,Oskar-Jäger-Str.
259,Karnevalsmuseum
26,Eifelwall
260,Vogelsanger Str./Maarweg
261,Weiden Zentrum
262,Äußere Kanalstr.
263,Alter Deutzer Postweg
264,Akazienweg
265,Vogelsanger Str.
2650,Siegburg Kaserne
266,Häuschensweg
2664,Troisdorf Kuttgasse
267,Feltenstr.
268,Emilstr.
269,Erlenweg
27,Rudolfplatz
270,Mühlenweg
271,Ossendorf
272,Rektor-Klein-Str.
273,Margaretastr.
2736,Niederkassel Rathausplatz
274,Alter Flughafen Butzweilerhof
275,Hugo-Eckener-Str.
276,Blériotstr.
277,Von-Hünefeld-Str.
